 Metabolite_name	RefMet_name	P01-01-4749	P01-02-4750	P02-01-4751	P02-02-4752	P03-01-4753	P03-02-4754	P04-01-4755	P04-02-4756	P05-01-4757	P05-02-4758	P06-01-4759	P06-02-4760	P07-01-4761	P07-02-4762	P08-01-4763	P08-02-4764	P09-01-4765	P09-02-4766	P10-01-4767	P10-02-4768	P11-01-4769	P11-02-4770	P12-01-4771	P12-02-4772	P13-01-4773	P13-02-4774	P14-01-4775	P14-02-4776	P15-01-4777	P15-02-4778	P16-01-4779	P16-02-4780
Factors	-	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer
Glycerophosphocholine	sn-Glycero-3-phosphocholine	7742	8342	3168	3436		14668		2252			422		8904	10424	1952	2220		2204		3204	418	366	468	602	3090		596	1054		2858	658	514
Glycyl-L-leucine	Gly-Leu	20818	17942	5760	5482	1284	1672	4478		5378	6332	7226	6512	1450	1394	33510	32782	858	534	12246	12140	10436	11274	17012	20050	11992	266	788	668	27840	27448	648	744
Glycylproline	Gly-Pro	89364	79276	7334	7696	98762	119840	8852	7818	59656	59302	57242	54952	86856	109080	22852	25614	46222	61784	49286	52450	21834	18722	37854	36846	124332	1694	35092	36138	27102	24832	36350	29732
Guaifenesin	Guaifenesin	1526	1500	1802	2014	1758	1684	1990	1688	2042	1940	1886	2074	1924	2048	1672	1970	2838	2546	1706	2284	2476	2460	1408	224	2232	134	2136	1992	1922	2162	1820	2008
Guanidine	Guanidine	1182	2310	1042	1556	2652	1324	2048	834	2566	448	1380	234	3028	614	1468	290	1488	724	2476	454	1146	804	4250	4678	418	536	656	954		1910	1358	2108
Guanine	Guanine	10364	11278	13420	19420	958		9114	21956	4926	3684	12892	13018	8788	9246	38420	40456	3962	3572	8810	3732	10620	9312	16726	17004	26154	7976	4562	4480	2698	2758	6678	2024
Guanosine	Guanosine	5618	4282	192	2076	1004	1166	9250		3576		3066		2352	40	2720		2234		1906		622	906	14850	17364	13836	498	1488	1540	120	546		976
Guanosine monophosphate	GMP	4324	4402	5080	6322	760	574	20896	16056	722	386	318	300	1366	792	2356	1462	68		2004	1616	258	376	646	282	2278		964	1366	678	330	1682	2090
Histamine	Histamine	1622	392	454		2058	2548	1150	944	1914	1864	1276	938	3296	1914	500	406	460	662		862	832	244	6078	6004	1162	292	782	816	1080	496	272	400
Homocysteine	Homocysteine	1208	1424	1080	1956	3318	3326	1546		344		2282	222	3676		434	262	648	232	924	110	1124	1178	1050	1270	1076		1172	1030	1886	3876	894	778
Homoveratric acid	Homoveratric acid	1288	1414	1698	2498	456	544	892	1278	1176	1176	1644	1806	576	444	1284	1196	1428	1210	1548	1462	1916	1948	878	204	1074	168	960	1352	164	346	898	750
Hyodeoxycholic acid	Hyodeoxycholic acid	886	796	406	624	874	844	2000	2858	3528	4058	4890	4296	6266	6556	8066	9762	11814	14704	15604	16860	13884	15416	12094	1908		12228	1686		894	14462	12320	
Hypotaurine	Hypotaurine	12544	11068	5968	6424	1298	1860	4382	5320	4462	3296	4284	3382	1582	1150	4758	5778	1260	1518	5122	6890	11748	13790	9644	6824	6224		1330	1736	18274	30498	1744	2182
Hypoxanthine	Hypoxanthine	51970	55340		32806	1400	714	3356		20984		7342				58082			810	38106		27690	28740	59744	65464	49250	136	1168	1218		108646		1728
Indole	Indole	14138	12404	3004	3370	1844	1662	4882	5566	4046	4216	10474	10930	1920	2050	9332	8730	2856	3258	7002	5934	16548	15084	7184	6598	13376	336	1470	1170	27672	27674	4448	4394
Indoleacetic acid	Indoleacetic acid	6690	6636	37416	37824	3288	3142	2346	2184	5174	4396	5356	6236	2866	2838	4562	5542		112	2330	2604	26102	27882	702	150	27930	210	582	604	462	318	138	
Indoleacrylic acid	Indoleacrylic acid	204994	199380	58238	58858	28618	27824	79428	89174	73796	81032	187942	196682	30776	30736	169706	165352	39370	44604	116324	113744	264312	259576	91362	90194	276940	4106	26584	26332	452410	444444	69508	71062
Indolelactic acid	Indolelactic acid	798	1224	4084	4218	92	268	1614	1592	620	802	160	372	184	268	924	1096	426	624	488	910	1382	1284	486	130	1810		266		8336	7056		432
Inosine	Inosine	13016	15130	2234	1884	836	602	27842		2056		2040	76	1472		1820		1444		1482		1380	1066	11392	12322	6626		1158	918	548	2026		644
Inosinic acid	IMP	1020	1108	922	972	1012	1146	1262	1524	1458	1578	1766	2046	2024	1980	1506	2280	2008	1744	2060	1544	1734	1744	1536	148	1850	1688	1640	1774	1646	1596	1526	1610
Isopropyl alcohol	Isopropanol	1236	1286	1594	1098	1090	1782	4668	2058	1450	1862	2610	1420	1978	2160	2762	1796	2090	2340	1992	2002	1082	1344	2258	1736	2414	1122	1592	1986	1876	1946	2578	1722
Isovalerylcarnitine	CAR 4:0;3Me	1168	1164	458		8204	5668	9456	10096	4346	3980	2480	2382	5332	5982			2834	2600	1554	1284	3468	3076	896	1054	1004		3468	3514	2142	2242	30934	32186
Isovalerylglycine	Isovalerylglycine	312	1514	826	590	306	156	770	824	6192	5402	5682	6744	200	140	212	332	240	94	5352	4548	1832	2014	620	250	218	200	2134	1840	478	630	70	146
Kynurenic acid	Kynurenic acid	3650	4262	4684	4742	1578	1150	2716	2768	1574	1960	834	558	1120	1412	4814	5508	788	820	764	700	4938	4634	3574	4516	1558	88	236	434	7106	7456		80
L-Acetylcarnitine	CAR 2:0			2286	4410	37540	44382	72248		18792	18972									19842	21230						332	122		28520	29430	30406	24218
L-Arginine	Arginine	20014	17414	832	1216	23756	32440	7678	7782	11632	12928	36910	40502	31444	34640	12548	16962	31518	34864	25196	28916	5472	5870	3874	3524	9254	1148	9240	8006	28706	24874	26726	24790
L-Aspartic acid	Aspartic acid	3186	4162	8880	6358	1364	1680	9958	27100	1210	842	1046	1440	1286	692	1262	504	1498	754	1846	1994	832	1224	2590	1824	1484	186	406	754	1492	2096	638	1294
L-Aspartyl-L-phenylalanine	Asp-Phe	8184	10236	1818	1562	706	682	868	922	2304	1760	460	484	582	570	13138	13736		162	5280	4594	5022	5298	6508	7440	5292	614	446	464	11330	9782	416	192
L-Carnitine	Carnitine	23762	19244	6180	7148	25228	26252	17440	15398	14332	16180	6252	7190	19990	22270	16698	17898	5574	5878	8974	11280	26282	27348	33760	31212	16344		4810	5218	28772	25684	13090	10722
L-Dopa	DOPA	5440	5002	1442	1830	1592	1804	2032	1812	3928	4156	8488	10070	1432	1994	6700	6982	492	808	5452	6536	8246	8022	1624	3034	5034	392	1604	1400	16966	16512	1450	1230
L-Glutamic acid	Glutamic acid	5628	5782	3740	3810	2280	2176	5560	6222	1412	1962	6742	7116	2180	2742	2180	2516	2586	2498	3948	4320	5284	4714	11872	9646	3884	1480	1544	1140	4636	5120	1806	2160
L-Glutamine	Glutamine	7908	7646	3688	2906	8578	8392	1324	2676	5296	5822	3330	2916	9886	8000	3398	5048	5644	4338	3286	5140	2660	2450	10722	6416	4364	1176	2996	2944	14776	10698	1172	1210
L-Histidine	Histidine	4748	5660	2696	2446	9368	6690	2092	1312	4836	3996	2212	2158	8484	5276	2080	2794	2990	2784	4598	4262	1922	1810	5256	4800	6254	456	8056	7964	5284	6574	11076	12620
